lab_category,reference_unit,lab_name_type_examples,lab_order_category,notes
albumin,g/dL,"ALBUMIN, ALB, SERUM ALBUMIN",lft,
alkaline_phosphatase,U/L,"ALP, ALKALINE PHOS, ALK PHOS, ALKP",lft,
alt,U/L,"ALT, SGPT, ALANINE TRANSAMINASE",lft,
ast,U/L,"AST, SGOT, ASPARTATE TRANSAMINASE",lft,
basophils_percent,%,"BASO%, BASOPHILS %, BASO PERCENT",cbc,
basophils_absolute,10^3/µL,"BASO#, BASOPHILS ABS, BASO ABSOLUTE",cbc,
bicarbonate,mmol/L,"CO2, HCO3, BICARB, CARBON DIOXIDE",bmp,bicarbonate from BMP (sometimes reported out as CO2) not from ABG/VBG
bilirubin_total,mg/dL,"TBILI, TOTAL BILI, BILIRUBIN TOTAL",lft,
bilirubin_conjugated,mg/dL,"DBILI, DIRECT BILI, CONJUGATED BILI",lft,
bilirubin_unconjugated,mg/dL,"INDIRECT BILI, UNCONJUGATED BILI, IBILI",lft,
bun,mg/dL,"BUN, UREA NITROGEN, BLOOD UREA",bmp,
calcium_total,mg/dL,"CA, CALCIUM, TOTAL CALCIUM, SERUM CA",bmp,
calcium_ionized,mg/dL,"IONIZED CA, ICA, FREE CALCIUM",misc,
chloride,mmol/L,"CL, CHLORIDE, SERUM CHLORIDE",bmp,
creatinine,mg/dL,"CR, CREAT, SERUM CREATININE",bmp,
crp,mg/L,"CRP, C-REACTIVE PROTEIN, HS-CRP",misc,
eosinophils_percent,%,"EOS%, EOSINOPHILS %, EO PERCENT",cbc,
eosinophils_absolute,10^3/µL,"EOS#, EOSINOPHILS ABS, EO ABSOLUTE",cbc,
esr,mm/hour,"ESR, SED RATE, SEDIMENTATION RATE",misc,
ferritin,ng/mL,"FERRITIN, SERUM FERRITIN, FERR",misc,
glucose_fingerstick,mg/dL,"POC GLUCOSE, FINGERSTICK GLUCOSE, ACCUCHECK, BEDSIDE GLUCOSE",misc,
glucose_serum,mg/dL,"GLUCOSE, SERUM GLUCOSE, BLOOD GLUCOSE, GLU",bmp,
hemoglobin,g/dL,"HGB, HB, HEMOGLOBIN",cbc,
phosphate,mg/dL,"PHOS, PHOSPHORUS, PHOSPHATE, SERUM PHOS",misc,sometimes called 'phosphorus' in the EHR
inr,(no units),"INR, INTERNATIONAL NORMALIZED RATIO",coags,
lactate,mmol/L,"LACTATE, LACTIC ACID, LAC",misc,
ldh,U/L,"LDH, LD, LACTATE DEHYDROGENASE",misc,
lymphocytes_percent,%,"LYMPH%, LYMPHOCYTES %, LYMPH PERCENT",cbc,
lymphocytes_absolute,10^3/µL,"LYMPH#, LYMPHOCYTES ABS, LYMPH ABSOLUTE",misc,
magnesium,mg/dL,"MG, MAGNESIUM, SERUM MG",misc,
monocytes_percent,%,"MONO%, MONOCYTES %, MONO PERCENT",cbc,
monocytes_absolute,10^3/µL,"MONO#, MONOCYTES ABS, MONO ABSOLUTE",cbc,
neutrophils_percent,%,"NEUT%, NEUTROPHILS %, NEUT PERCENT, PMN%",cbc,
neutrophils_absolute,10^3/µL,"NEUT#, ANC, NEUTROPHILS ABS, PMN#",cbc,
pco2_arterial,mmHg,"PACO2, ARTERIAL PCO2, ABG PCO2",blood_gas,
po2_arterial,mmHg,"PAO2, ARTERIAL PO2, ABG PO2",blood_gas,
pco2_venous,mmHg,"PVCO2, VENOUS PCO2, VBG PCO2",blood_gas,
ph_arterial,(no units),"ABG PH, ARTERIAL PH, BLOOD PH",blood_gas,
ph_venous,(no units),"VBG PH, VENOUS PH",blood_gas,
platelet_count,10^3/µL,"PLT, PLATELETS, PLATELET COUNT",cbc,
potassium,mmol/L,"K, POTASSIUM, SERUM K",bmp,
procalcitonin,ng/mL,"PCT, PROCALCITONIN, PRO-CALCITONIN",misc,
pt,sec,"PT, PROTIME, PROTHROMBIN TIME",coags,
ptt,sec,"PTT, APTT, ACTIVATED PTT",coags,
so2_arterial,%,"SAO2, ARTERIAL SAT, ABG O2 SAT",blood_gas,
so2_mixed_venous,%,"SVO2, MIXED VENOUS SAT, SVMVO2",blood_gas,
so2_central_venous,%,"SCVO2, CENTRAL VENOUS SAT",blood_gas,
sodium,mmol/L,"NA, SODIUM, SERUM NA",bmp,
total_protein,g/dL,"TP, TOTAL PROTEIN, SERUM PROTEIN",lft,
troponin_i,ng/L,"TROP I, TROPONIN I, TNI",misc,
troponin_t,ng/L,"TROP T, TROPONIN T, TNT",misc,
wbc,10^3/µL,"WBC, WHITE BLOOD CELL, LEUKOCYTES",cbc,
fibrinogen,mg/dL,"FIBRINOGEN, FIB, FIBRINOGEN LEVEL",coags,
ckmb,ng/mL,"CK-MB, CKMB, CREATINE KINASE MB",misc,
